nev;cimsor;varos;irsz;szul;magassag
Szabó Angelika;Nyár utca 20.;Szeged;6725;2046.02.25;166
Ábrahám Terézia;Dáni u. 38/A;Szeged;6721;2056.09.27;156
Hajdú Mihály;Deák Ferenc utca 66.;Szeged;6722;2069.02.09;151
Szekeres Margit;Damjanich u. 152/b;Szeged;6722;2072.06.19;166
Kenéz Edina;Vörösmarty u. 28/a;Kecsekmét;6000;2091.08.04;169
Apró Rezső;Komp u.21.;Szeged;6721;2047.09.10;171
Hegyi Magdolna Mária;Mester utca 3.;Hódmezővásárhely;6800;2087.09.18;153
Gál Ida Ildikó;Kistópart u.1.I.em.2.;Hódmezővásárhely;6800;2082.09.17;153
Kis István;Szabadságharcos utca 11.;Kecsekmét;6000;2059.04.10;175
Szabó Katalin;Kistópart utca 94.;Szeged;6725;2085.09.13;153
Denczinger Ildikó;Bánffy utca 6.;Szeged;6720;2069.10.17;152
Kis-Gerőcz Dávid;Pacsirta utca 2.;Hódmezővásárhely;6800;2046.10.10;173
Komlósi Zsolt;Mária Valéria u. 11-13.;Hódmezővásárhely;6800;2089.06.25;174
Kerekes Zsuzsanna;Csengettyű köz 14.IX.26.;Szeged;6721;2059.08.07;180
Bordás Bence György;Fáncsy u. 40/a;Szeged;6721;2042.04.10;179
Saja Tamás Szabolcs;Kisfaludy utca 100.;Kecsekmét;6000;2049.10.30;170
Tóth Ildikó;Munkácsy M. u. 1. 4/16.;Szeged;6721;2076.10.07;155
Marton Edit;Kapisztrán u. 48.;Szeged;6721;2068.01.30;154
Banga Norbert;Vörösmarty u. 28/a;Szeged;6710;2061.11.09;179
Márton Bence Zoltán;Kiss Ferenc u. 1;Szeged;6710;2046.04.19;167
Balogh Csilla Zita;Nefelejcs u. 6;Szeged;6720;2087.09.16;154
Bacsa Mónika;Tanya 844.;Kecsekmét;6000;2048.06.03;178
Hegedűs Henriett;Szabadság tér 84. II.lh. 3/3.;Hódmezővásárhely;6800;2058.02.10;170
Kispál Krisztián;Munkácsy M. u.10.;Szeged;6720;2064.01.24;159
Herczeg Ilona;Kinizsi u. 42.;Szeged;6722;2059.09.14;153
Hideg Sándor;Kinizsi u. 3.;Szeged;6721;2048.06.17;152
Mészáros Klára Gyöngyi;Fűz utca 10.;Hódmezővásárhely;6800;2050.04.23;152
Grexák Barbara;Szabadság utca 15.;Hódmezővásárhely;6800;2084.08.23;174
Bozó  Angéla Zita;Orgona u. 10.;Szeged;6721;2065.08.08;174
Gajjas Gyöngyike Rozália;Kökény utca 21.;Szeged;6710;2042.06.16;152
Kunos Noémi;Dózsa u.14.;Szeged;6722;2047.07.09;177
Csuka Gyöngyi;Dózsa u.14.;Kecsekmét;6000;2069.06.05;175
Németh Ildikó;Bacsó B. u. 40.;Hódmezővásárhely;6800;2058.01.02;160
Tóth Sándor;Szent István utca 74.;Szeged;6722;2043.09.12;178
Reichard Erika;Petőfi u. 4.;Szeged;6725;2087.01.04;151
Balog Erika;Martinovics u. 7.;Szeged;6710;2083.08.31;170
Unger Erzsébet;Tanya 4003/22;Szeged;6720;2082.02.05;154
Dezső Sándor;Héthalmi tanya 15/1;Szeged;6722;2058.09.31;158
Sebők zsuzsanna;Alkotmány u. 28.;Szeged;6721;2065.09.31;157
Gilicze Judit;Éva utca 10.III. 7.;Szeged;6721;2047.09.17;160
Virág Szabolcs;Kossuth Lajos utca 10.;Kecsekmét;6000;2083.01.20;170
Bense Balázs;Malom u. 8.;Szeged;6721;2077.07.18;174
Petrikó Ibolya;Tanya 844.;Hódmezővásárhely;6800;2069.06.08;168
Fazekas Sándor Zoltán;Táncsics Mihály utca 4/A;Szeged;6725;2071.07.27;163
Jakab Ildikó;Árendás u. 4.;Szeged;6720;2076.02.27;173
Mágori Aranka Rózsa;Őze Lajos u. 14.;Szeged;6721;2083.02.23;168
Rácz Edit;Bacsó Béla u. 2.;Szeged;6720;2044.10.23;156
Oláh Julianna;Szabadság utca 102.;Szeged;6721;2066.11.25;170
Németh Martin;Rudnay Gy. utca 10/B IV. 13.;Szeged;6721;2091.02.21;171
Horváth Éva Zsuzsanna;Oldalkosár u. 16. 2/4.;Szeged;6721;2087.01.13;176
Hajnal Zsuzsanna;Erdélyi utca 46.;Szeged;6710;2051.03.11;166
Dékány Gabriella;Ábrai K. u.20.;Kecsekmét;6000;2081.01.10;166
Jaksa Tünde;Kámvás u. 3.;Szeged;6721;2054.07.04;174
Mónus Adrien;Kökény utca 21.;Kecsekmét;6000;2064.07.24;162
Csík Eszter;Csalogány utca 11.;Hódmezővásárhely;6800;2087.10.08;153
Sötét Ildikó;Liszt Ferenc utca 12. I.e. 3.a.;Hódmezővásárhely;6800;2083.11.06;158
Annus Ádám Sándor;Kaszap u. 15. IV. 22.;Szeged;6722;2050.01.16;178
Paplukács Katalin;Kámvás u. 3.;Szeged;6725;2042.10.19;157
Kovács Zoltán Balázs;Szántó K. J. u. 26.;Szeged;6725;2085.11.20;174
Elekes János;Újvilág u. 129.;Szeged;6720;2078.04.19;160
Szokolai Gyöngyi;Kistőke tanya 100.;Szeged;6720;2092.04.24;168
Ábrahám Tímea;Jókai u. 209.;Kecsekmét;6000;2065.03.26;162
Szilágyi Dávid;Tanya 3289.;Szeged;6710;2076.03.09;170
Vecseri András;IV. ker. 109.;Szeged;6721;2083.08.10;162
Szilágyi Beáta;Pacsirta u.7.;Szeged;6720;2060.06.26;163
Elekes Patrik;Tanya 3289.;Szeged;6721;2065.08.21;172
Kamasz Erzsébet;Nagy András János u. 57.;Szeged;6710;2042.10.21;170
Király Norbert Zsolt;Pál u. 74.;Kecsekmét;6000;2070.09.07;179
Tóth Tünde Mariann;Malom utca 24..;Kecsekmét;6000;2091.05.16;157
Bagosi Angéla;Görbe u. 85.;Szeged;6720;2078.01.16;172
Galli Viktor Dominik;Galamb utca 37/A.;Szeged;6722;2092.04.29;163
Almási Krisztián Gábor;Hajnal u. 17.;Szeged;6725;2068.05.10;178
Horváth Pál;Szél utca 30.a;Szeged;6720;2083.06.18;172
Füsti-Molnár Andrea;Bajcsy-Zs. Utca 53. II. 11.;Szeged;6721;2053.09.10;162
Pánczél Julianna;Csalogány u. 33.;Szeged;6722;2075.11.23;163
Tatár-Kis Eszter Ilona;Dohány u.2.;Szeged;6721;2057.07.20;175
Kiss Imre;Szent László utca 64.;Hódmezővásárhely;6800;2078.08.07;165
Hős Koppány Árpád;Fűz u. 2;Szeged;6710;2065.11.21;153
Kis Angelika Eszter;Oldalkosár u. 7. VII. 37.;Szeged;6710;2083.05.05;154
Halál Mátyás;Tanya 190.;Kecsekmét;6000;2059.02.06;170
Csík Sándor;Királyszék u. 8.;Szeged;6725;2080.09.18;159
Móritz Margit;Bibó Lajos utca 23/1;Szeged;6721;2074.10.23;173
Csikós Márta Julianna;Kossuth L. u. 29.;Szeged;6722;2043.03.06;166
Szabó Ilona;Kun Béla u. 6.;Szeged;6720;2083.02.08;174
Hegyi Terézia Julianna;Rudnay Gy. utca 10/B IV. 13.;Szeged;6720;2070.09.23;177
Oláh Judit;Debreceni u. 1/b.;Szeged;6722;2057.10.09;167
Kis Gergő;Kohán György utca 5. B lph. 2 em. 4 a.;Hódmezővásárhely;6800;2042.01.13;173
Horváth Tünde;Dáni u. 63.;Szeged;6721;2056.11.30;166
Fári Bettina;Kapisztrán u. 48.;Szeged;6720;2078.07.05;151
Tokai Dávid;barátság u. 15.;Hódmezővásárhely;6800;2058.09.07;175
Molnár Gréta;Tisza utca 10.;Szeged;6722;2058.02.09;172
Megyeri Magdolna Margit;Szent László u. 17.;Szeged;6721;2041.09.27;161
Zelenka Dániel József;Vörösmarty u. 28.;Hódmezővásárhely;6800;2059.08.12;158
Fekete Tamás Gábor;Rákóczi u. 73.;Szeged;6710;2056.03.10;163
Turánszki Tamás;Dobozi utca 3.;Kecsekmét;6000;2092.06.06;161
Farkas Laura Kinga;Szent László u. 17.;Szeged;6720;2084.04.26;161
Dezső Gergely;Pacsirta utca 48.;Kecsekmét;6000;2043.07.06;167
Kékesi Erzsébet;Kiss Ernő u. 2.;Szeged;6721;2050.07.29;158
Jóna-Kürtösi Viktor;Nyár u. 39/a;Szeged;6721;2075.10.04;154
Oláh Viktor;Csomorkányi u. 14.;Szeged;6720;2044.05.04;170
Szentpéteri Csaba;Rév u. 36.;Szeged;6722;2043.06.13;175
Rostás Tamás Erik;Munkácsy M. u.10.;Szeged;6721;2045.08.30;154
Alács Ádám;Rákóczi u. 19.;Szeged;6710;2051.01.19;162
Juhász Gábor István;Észak u. 6.;Szeged;6725;2073.09.12;176
Csöntör Csaba;Tanya 4286.;Szeged;6721;2078.02.02;169
Oláh Ildikó;Előd utca 18.;Kecsekmét;6000;2065.06.04;161
Balog Ágnes;Tuhutum u. 13.;Szeged;6725;2070.06.28;171
Kis Orlandó;Temesvár utca 39.;Szeged;6721;2075.10.12;177
Kun Zoltán Gábor;Tanya 4286.;Szeged;6725;2084.03.19;156
Kozák Brigitta;Kert utca 23.;Szeged;6720;2048.10.13;155
Gulyás Terézia;Jókai utca 36.;Szeged;6722;2058.08.18;163
Somogyi Mária;Köztársaság tér 21.;Kecsekmét;6000;2044.10.09;163
Rácz Erika;Mikszáth Kálmán u. 4.;Szeged;6710;2070.11.22;167
Polyák Julianna;Nagy András János u. 57.;Kecsekmét;6000;2079.05.29;163
Kreisz Tímea;Pacsirta utca 30.;Szeged;6720;2086.09.06;161
Seres Szilvia;Agyag u. 5.;Szeged;6725;2073.09.22;155
Dorogi Zsolt;Vívó u. 8.;Szeged;6721;2056.02.12;166
Zsigárcsik Andrea Zita;Szabadság utca 102.;Szeged;6725;2064.07.11;161
Családi Erzsébet;Rét utca 10.;Szeged;6722;2068.09.31;159
Gercsó Tibor Máté;Posta utca 6.;Szeged;6720;2090.09.02;162
Pap Ilona;Bercsényi u. 32.;Szeged;6721;2089.05.05;178
Farkas Gergő Bendegúz;Kistópart utca 3.;Hódmezővásárhely;6800;2042.01.06;157
Nagy Éva Ibolya;Komp utca 18.;Szeged;6722;2044.10.22;179
Rébék Nagy Sarolta;Damijanich u. 5.;Szeged;6725;2052.01.03;163
Halápi Erika;Asztalos u. 21/a;Szeged;6725;2070.11.28;171
Molnár Erzsébet;Kaszap utca 25. X. 60.;Hódmezővásárhely;6800;2043.07.03;178
Németh Katalin;Köztársaság utca 18.;Szeged;6725;2042.11.10;151
Pintér Dóra;Rákóczi út 5.;Szeged;6722;2052.03.17;162
Békési Gergő Titusz;Petőfi u. 4.;Szeged;6720;2086.09.24;154
Rozsumberszki Mária;Béke utca 1.;Szeged;6722;2044.02.09;176
Sárközi Éva Szilvia;Tanya 4033.;Kecsekmét;6000;2068.04.10;173
Gárdián Csaba;Iskola utca 4.;Szeged;6721;2059.10.15;171
Banga Erika;Kiss Ernő u. 2.;Szeged;6720;2067.03.17;159
Balogh András Ádám;Hétvezér tér 27;Szeged;6725;2087.09.24;164
Kámvás Mária Katalin;Dózsa György utca 40.;Hódmezővásárhely;6800;2088.02.24;162
Varga Margit;Hold utca 11.;Szeged;6720;2078.07.25;177
Boros Máté Dávid;Szabadság u. 47.;Szeged;6722;2063.09.23;168
Kardos Csilla;Tuhutum u. 13.;Szeged;6710;2075.02.08;152
Schönek Géza;Kossuth út 96.;Szeged;6722;2062.07.12;168
Rácz Andrea;Sallai u. 70.;Szeged;6710;2043.11.15;154
Szakál Edit Angéla;Gyevi Tanyák 10.;Szeged;6721;2073.05.27;170
Horváth Fruzsina Éva;Rákóczi u. 19.;Kecsekmét;6000;2066.09.24;176
Dékány András;Kert utca 32.;Hódmezővásárhely;6800;2090.01.19;158
Sipos Ákos;Garzó Imre utca 6.;Szeged;6722;2068.06.11;162
Salacz Milán Sándor;Csillag utca 14.;Szeged;6721;2044.09.28;156
Csáki Imre Tamás;Árpád utca 2.;Hódmezővásárhely;6800;2059.05.28;169
Rácz Árpád Ferenc;Kiss Ernő u. 2.;Szeged;6725;2045.07.08;175
Tóth Zsuzsanna;Kökény utca 21.;Szeged;6722;2088.08.07;155
Tóth Ilona;Tanya 2043;Kecsekmét;6000;2043.06.10;163
Kovács Judit;Proletár u. 94.;Szeged;6721;2045.02.12;167
Juhász Szabolcs;Görbe u. 85.;Szeged;6721;2067.09.09;178
Fábián Renáta;Álmos u. 17.;Szeged;6721;2042.09.27;164
Kovács Ilona;Liszt Ferenc utca 12. I.e. 3.a.;Szeged;6722;2083.09.08;173
Szabó Erika;Epres tér 2.;Szeged;6710;2068.01.20;163
Ambrus Ferenc;Dáni u. 63.;Szeged;6720;2067.02.25;162
Valkai Tünde;Zala György Lakótelep 2/B;Szeged;6721;2077.06.16;151
Rozsos Roland;Kisfaludy utca 107.;Szeged;6720;2082.10.10;179
Molnár Éva;Horváth Gy. Utca 97.;Szeged;6725;2064.10.15;175
Krámli Éva;Nyár utca 20.;Szeged;6721;2086.04.09;159
Maár Éva;Aradi u. 81.;Szeged;6720;2045.11.17;157
Fári Tamás;Illyés Gyula utca 25.;Szeged;6710;2050.08.26;164
Kökény Etelka;Takács F. u. 1/a.;Szeged;6722;2053.04.02;155
Bajnóczi Mária;Mester utca 43.;Hódmezővásárhely;6800;2084.06.27;170
Jochim Katalin;Petőfi u. 28.;Szeged;6722;2073.05.29;168
Kardos Roland Benjamin;Eszperantó u. 3.;Szeged;6725;2057.02.10;168
Nagy Anna;Posta utca 6.;Szeged;6721;2066.10.12;151
Kása Katalin;Dózsa György u. 22.;Szeged;6722;2063.09.19;178
Takács Éva;Tápai u. 43. V. 14.;Szeged;6710;2077.07.28;158
Nagy Zsuzsanna;Eszperantó utca 3. I. 1.;Szeged;6720;2089.04.12;167
Pásztor Tamás;Rét u. 64.;Szeged;6722;2048.08.30;180
Hajdú Hajnalka;Táncsics M. utca 1/a;Szeged;6720;2042.10.02;173
Pödör Erika;Móricz Zs. u. 1.;Szeged;6720;2092.04.09;163
Zengő Katalin;Károlyi utca 54.;Kecsekmét;6000;2061.06.29;170
Törőcsik Mária;Rigó utca 12.;Hódmezővásárhely;6800;2081.04.28;163
Csernai Zsolt;Búzavirág utca 28.;Szeged;6721;2051.11.21;172
Kurunczai Máté;Fő utca 86.;Szeged;6725;2060.09.10;164
Bánhidi Enikő Márta;Sztahanov u. 11.;Kecsekmét;6000;2062.02.18;176
Bodó Márta;Aranka u 43;Szeged;6710;2045.03.14;160
Ujvári Viktor;Ifjúsági sétány 6.;Hódmezővásárhely;6800;2048.10.19;150
Sajti Ági;Szoboszlai utca 17.;Szeged;6725;2052.03.15;171
Hevesi Mónika Rozália;Szabadság utca 102.;Szeged;6720;2090.08.19;159
Nagy László;Jókai utca 36.;Hódmezővásárhely;6800;2085.07.24;179
Békési Péter;Kohán György utca 5. B lph. 2 em. 4 a.;Szeged;6722;2044.01.19;167
Fási Zita;Állomás utca 36.;Kecsekmét;6000;2080.09.19;156
Török Margit;Bárd utca 6.;Szeged;6721;2056.09.11;174
Tarjányi-Sugár Szilvia  Csilla;Muskátli u. 5 .1/4;Hódmezővásárhely;6800;2043.01.13;171
Martonosi Szabina;Illyés Gyula utca 25.;Kecsekmét;6000;2090.06.07;161
Apró Erzsébet;Árendás u. 4.;Hódmezővásárhely;6800;2063.04.29;174
Kis László;Visszhang u. 26.;Szeged;6722;2089.05.23;153
Lénárt Béla;Héthalmi tanya 15/1;Hódmezővásárhely;6800;2083.11.18;165
Popán Edina Éva;Bem u. 1.;Szeged;6721;2055.09.11;162
Juhász Anna;Szt. László u. 39.;Kecsekmét;6000;2069.09.10;176
Dajkó Sára;Gyevi Tanyák 10.;Hódmezővásárhely;6800;2083.02.19;174
Bajusz Tibor;Liszt Ferenc u. 4. 3/9.;Szeged;6720;2066.09.15;177
Dobsa Norbert Imre;Rákóczi Ferenc utca 35.;Szeged;6720;2062.04.29;170
Kállai Henrik György;Bárány u. 43/a;Szeged;6720;2070.10.26;170
Bálint Anna Ilona;Dózsa György utca 40.;Szeged;6722;2062.02.06;180
Faragó Csilla;Somogyi B. u. 100.;Szeged;6710;2048.03.17;166
Bánfi Erika Katalin;Vaskapu u.36.;Szeged;6710;2057.04.07;172
Dezső Mária;Gellért utca 56.;Szeged;6725;2083.06.25;156
Horváth Ditta Tünde;Rákóczi F. u. 28.;Szeged;6710;2074.07.17;163
Andrucsák Mária;Bercsényi u. 32.;Hódmezővásárhely;6800;2053.06.27;177
Szilágyi Ilona;Gorzsa tanya 867.;Szeged;6721;2044.01.02;152
Dunai Gyöngyike Erzsébet;Aradi u. 81.;Hódmezővásárhely;6800;2089.11.06;177
Fődi Géza;Jókai utca 110.;Szeged;6720;2071.05.02;163
Terhes Ádám;Eke utca 61.;Szeged;6722;2070.09.27;177
Bartók Judit;Malom u. 10.;Szeged;6721;2088.01.13;162
Kispál Judit Emese;Rákóczi utca 68.;Kecsekmét;6000;2051.01.20;168
Széll Rozália;Vajhát Tanya 3570.;Hódmezővásárhely;6800;2047.09.07;153
Bakai Borbála;Móricz Zs. u. 1.;Szeged;6722;2048.08.24;168
Patócs Éva;Petőfi u. 28.;Hódmezővásárhely;6800;2067.01.25;152
Berta Ádám Gábor;Zrínyi Ilona utca 4.;Kecsekmét;6000;2050.09.30;153
Fülöp Gyöngyi;Tisza utca 10.;Kecsekmét;6000;2060.09.11;155
Torma Anna;Károlyi utca 62.;Szeged;6710;2047.03.22;168
Csányi Tibor;Epres tér 2.;Szeged;6721;2043.03.30;171
Virág-Kis Éva;Bacsó B. u. 40.;Szeged;6720;2079.11.28;161
Molnár Irén;Szabadság tér 85.;Hódmezővásárhely;6800;2071.01.22;175
Kurusa Ilona;Szabadság utca 27.;Szeged;6710;2067.07.17;151
Suba Erika;Hét Vezér tér 28.;Szeged;6725;2092.01.31;172
Fátyol Márió Sándor;Szőlőhegyi utca 38.;Szeged;6722;2069.07.12;163
Szentandrási Krisztián;Kossuth L. u. 50.;Szeged;6725;2084.02.16;179
Janovszki katalin;Szél u. 5.;Hódmezővásárhely;6800;2058.01.23;174
Horváth Máté;IV.Körzet Tanya 73.;Szeged;6725;2089.07.10;170
Andó Tamás;Lévai u. 24.;Szeged;6722;2067.09.12;160
Molnár Zoltán;Kodály Zoltán u. 8. III/16.;Hódmezővásárhely;6800;2074.06.22;159
Tódor Norbert István;Tanya 953.;Szeged;6721;2050.01.12;169
Filotás Mónika;Búza utca 44.;Szeged;6725;2073.05.05;176
Tóth Tünde;Hódtó utca 4. 9/54;Szeged;6721;2090.03.14;166
Vörös Éva Márta;Hont Ferenc utca 5/B V. 15.;Szeged;6720;2087.01.12;155
Budai Katalin;Török B. utca 16.;Szeged;6721;2085.11.07;156
Presztóczki Roland;Hétvezér tér 27;Kecsekmét;6000;2046.02.02;161
Kerekes Gyöngyi;Sztahanov u. 11.;Szeged;6722;2043.11.23;152
Facsar Adrián;Mátyás u. 41.;Hódmezővásárhely;6800;2069.01.29;158
Zsarkó Gabriella;Tanya 3197.;Szeged;6710;2076.04.10;156
Fekete Milán;Fűz utca 10.;Szeged;6722;2090.09.25;169
Libor Dávid;Damjanich u. 152/b;Kecsekmét;6000;2043.09.10;165
Szatmári Enikő Zsófia;Pacsirta utca 48.;Hódmezővásárhely;6800;2092.03.12;176
Jánosi Katalin;Szabadság tér 86 II.e.7.;Szeged;6710;2042.05.18;163
Karácsonyi Attila;Takács Ferenc u. 6.;Szeged;6725;2044.05.04;167
Szőke Zoltán;Őze Lajos u. 14.;Szeged;6725;2073.09.18;167
Nagy József;Ady Endre utca 17.;Hódmezővásárhely;6800;2055.01.07;168
Gyenes János;Galamb utca 12.;Hódmezővásárhely;6800;2091.11.02;168
Varga Tamás;Csomorkányi utca 65.;Szeged;6710;2074.06.27;174
Mónus Attila;Fáncsy u.29.;Szeged;6722;2083.11.04;153
Dani Gyöngyike;Kohán Gy. U. 7. A lh.III.e.7.;Szeged;6722;2084.09.29;179
